obname	BJD_OUT	RV	RV_E	BS	BS_E	FWHM	instrument	pipeline	resolution	T_eff	logg	Z	Vsini	XC_MIN	DISP	TEXP	SNR_R	ccf_file	HALPHA	HALPHA_E	CA_II_S	CA_II_E	S_MW	S_MW_E	LOG_RHK	LOGRHK_E	NA_II	NA_II_E	HE_I	HE_I_E
TIC237913194   	  2458792.57052070	  29.5076	 0.0076	    0.007	0.011	   9.9495	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.65	 4.30	1200.0	  77	/horus/mhobson/FEROS/TIC237913194/20191104_red/proc/FEROS.2019-11-05T01:29:46.650.TIC237913194_XCs_G2.pdf	   0.1136	   0.0023	   0.1153	   0.0108	   0.1431	   0.0129	  -5.0967	   0.1108	   0.2887	   0.0044	   0.5150	   0.0059
TIC237913194   	  2458800.66774399	  29.6138	 0.0080	   -0.017	0.011	   9.9284	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.64	 4.30	1200.0	  74	/horus/mhobson/FEROS/TIC237913194/20191112_red/proc/FEROS.2019-11-13T03:50:18.305.TIC237913194_XCs_G2.pdf	   0.1090	   0.0024	   0.1436	   0.0098	   0.1746	   0.0120	  -4.8864	   0.0633	   0.2946	   0.0046	   0.5159	   0.0067
TIC237913194   	  2458801.68790126	  29.6733	 0.0083	    0.014	0.011	   9.8914	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.64	 4.30	1200.0	  71	/horus/mhobson/FEROS/TIC237913194/20191113_red/proc/FEROS.2019-11-14T04:19:23.993.TIC237913194_XCs_G2.pdf	   0.1011	   0.0024	   0.1711	   0.0119	   0.2051	   0.0142	  -4.7489	   0.0549	   0.2992	   0.0048	   0.5057	   0.0068
TIC237913194   	  2458802.61910470	  29.7388	 0.0070	   -0.014	0.010	   9.9226	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.63	 4.30	1200.0	  86	/horus/mhobson/FEROS/TIC237913194/20191114_red/proc/FEROS.2019-11-15T02:40:23.734.TIC237913194_XCs_G2.pdf	   0.1065	   0.0020	   0.1273	   0.0081	   0.1564	   0.0102	  -4.9953	   0.0693	   0.2885	   0.0038	   0.5188	   0.0056
TIC237913194   	  2458805.67472779	  29.5431	 0.0068	   -0.001	0.010	   9.9343	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.65	 4.30	1200.0	  89	/horus/mhobson/FEROS/TIC237913194/20191117_red/proc/FEROS.2019-11-18T04:00:42.023.TIC237913194_XCs_G2.pdf	   0.1134	   0.0020	   0.1256	   0.0069	   0.1545	   0.0090	  -5.0082	   0.0634	   0.2784	   0.0038	   0.4981	   0.0051
TIC237913194   	  2458847.59210657	  29.7005	 0.0080	   -0.024	0.011	   9.9263	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.65	 4.30	1200.0	  73	/horus/mhobson/FEROS/TIC237913194/20191229_red/proc/FEROS.2019-12-30T02:04:35.108.TIC237913194_XCs_G2.pdf	   0.1038	   0.0024	   0.1368	   0.0114	   0.1670	   0.0136	  -4.9286	   0.0795	   0.2732	   0.0046	   0.4952	   0.0062
TIC237913194   	  2458848.59117494	  29.8578	 0.0081	    0.006	0.011	   9.9574	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.64	 4.30	1200.0	  73	/horus/mhobson/FEROS/TIC237913194/20191230_red/proc/FEROS.2019-12-31T02:03:18.279.TIC237913194_XCs_G2.pdf	   0.1054	   0.0024	   0.0831	   0.0118	   0.1073	   0.0138	  -5.6305	   0.4056	   0.2728	   0.0046	   0.5095	   0.0062
TIC237913194   	  2458849.59170744	  29.8052	 0.0078	    0.005	0.011	   9.9917	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.65	 4.30	1200.0	  76	/horus/mhobson/FEROS/TIC237913194/20191231_red/proc/FEROS.2020-01-01T02:04:07.935.TIC237913194_XCs_G2.pdf	   0.1093	   0.0024	   0.1235	   0.0115	   0.1522	   0.0136	  -5.0249	   0.0993	   0.2687	   0.0045	   0.5050	   0.0061
TIC237913194   	  2458850.54104936	  29.6187	 0.0075	   -0.010	0.011	   9.9430	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.65	 4.30	1200.0	  80	/horus/mhobson/FEROS/TIC237913194/20200101_red/proc/FEROS.2020-01-02T00:51:14.469.TIC237913194_XCs_G2.pdf	   0.1100	   0.0022	   0.1276	   0.0089	   0.1568	   0.0110	  -4.9925	   0.0743	   0.2804	   0.0042	   0.5127	   0.0060
TIC237913194   	  2458911.52415987	  29.5597	 0.0079	   -0.038	0.011	  10.0485	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.65	 4.40	1200.0	  76	/horus/mhobson/FEROS/TIC237913194/20200302_red/proc/FEROS.2020-03-03T00:28:48.420.TIC237913194_XCs_G2.pdf	   0.1143	   0.0029	   0.2211	   0.0243	   0.2607	   0.0277	  -4.5748	   0.0715	   0.2744	   0.0049	   0.4985	   0.0066
TIC237913194   	  2458915.51492502	  29.4802	 0.0102	    0.023	0.013	  10.1048	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.66	 4.40	1200.0	  58	/horus/mhobson/FEROS/TIC237913194/20200306_red/proc/FEROS.2020-03-07T00:15:29.064.TIC237913194_XCs_G2.pdf	   0.1317	   0.0035	   0.2748	   0.0381	   0.3204	   0.0429	  -4.4428	   0.0818	   0.2795	   0.0061	   0.4986	   0.0083
TIC237913194   	  2458917.51392869	  29.5098	 0.0100	    0.039	0.013	  10.0403	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.67	 4.40	1200.0	  61	/horus/mhobson/FEROS/TIC237913194/20200308_red/proc/FEROS.2020-03-09T00:14:01.811.TIC237913194_XCs_G2.pdf	   0.1128	   0.0031	   0.1294	   0.0354	   0.1587	   0.0397	  -4.9796	   0.2602	   0.2915	   0.0057	   0.4980	   0.0074
