# Times (BJD) 	 Diff. Mag. 	 Diff. Mag. Err.
2459047.207302179	-0.0006043240125387584	0.00048059000794746585
2459047.209084647	0.00021471865293686183	0.0004962994111518421
2459047.2108555385	-0.0011762693133976977	0.0005153769458855611
2459047.212638007	0.00047074951674786283	0.0004892470536064711
2459047.214420473	-3.629685893276257e-05	0.0004993739932170852
2459047.216318686	0.0002316468771218667	0.0004765633491749654
2459047.2180895796	0.0013179465236459289	0.0004938706580873991
2459047.2198604723	0.001960361336789834	0.000488033666495449
2459047.2216545125	0.0029784459472596194	0.0004856965690694149
2459047.2234254065	0.0028677356131698436	0.0004850025844662079
2459047.2252078736	0.004274830577324936	0.0004724152023283672
2459047.2269787653	0.003786058833085877	0.0004838725750852628
2459047.228761233	0.003745022845443832	0.0004796801225940991
2459047.230532126	0.005680179635056091	0.00046907766295954906
2459047.232303018	0.004923471107674844	0.0004689453552027653
2459047.234073912	0.004472130534692238	0.00045687471286739556
2459047.235844804	0.006742213327658046	0.0004887417521730212
2459047.2376156957	0.007921254478542018	0.00046214627375216333
2459047.2393981614	0.007841107587307838	0.00048573891572687176
2459047.241180629	0.008018643485929258	0.0004735961739473946
2459047.242963097	0.00827216796076812	0.0004573617972132703
2459047.244733989	0.007632445062750206	0.00046320193267365337
2459047.2465164564	0.008611378744416469	0.00045460894533696193
2459047.2484146706	0.009699177627654267	0.0004603533634637902
2459047.2501971363	0.008226858244421221	0.00047966038616511174
2459047.2519680294	0.007899028558748626	0.0004551630936304519
2459047.2537504956	0.007507417628089893	0.0004530684964035148
2459047.255532962	0.009018909267395996	0.0004491067417828247
2459047.257315429	0.00855675035831676	0.00044610535848827983
2459047.259074746	0.00831804125606081	0.0004422906326869503
2459047.2608572138	0.007472639556623957	0.00043674092469365885
2459047.262639681	0.008443621951041876	0.00043810180214197306
2459047.2644105717	0.008812456152956796	0.0004351582913004075
2459047.2661814643	0.007525102447300102	0.0004496362010146849
2459047.267952356	0.007477368617689749	0.00044383281979645795
2459047.2697348236	0.007474835704277944	0.0004445021137671483
2459047.271505715	0.007377450331615599	0.0004380317894744235
2459047.2732766084	0.007186124728320782	0.00044724396324526215
2459047.275059073	0.006417621315513217	0.0004624267437821305
2459047.276829965	0.006248745182970607	0.000491385049322516
2459047.2786008576	0.005681456543983524	0.00047278664868887534
2459047.2803833247	0.004641109854839178	0.0005335784269208926
2459047.2821542164	0.004002503608130008	0.0004565277014909011
2459047.2839366817	0.003150879692958678	0.00045939858509443793
2459047.2857075743	0.0026477743767062325	0.0004599164255767171
2459047.2874784665	0.0011038886850535464	0.00045205325617508646
2459047.2892609327	0.000892947117357718	0.00045353986318928273
2459047.2910433994	-0.0005200696127627315	0.0004519952176303725
2459047.292825866	0.0008925915227714712	0.0004527944694491592
2459047.2945967563	-0.0012734253736031453	0.0004569908803340414
2459047.296379224	0.0008971195145414473	0.0004738976011787123
2459047.2981501166	-0.0009365856168120276	0.0004677772023443104
2459047.2999210074	0.000230265567069724	0.00045249502800603155
2459047.301715048	-0.0018407570249805228	0.00046432760539330894
2459047.30348594	-0.0009229692149126575	0.00046171979695879223
2459047.305256831	0.00023794764081727377	0.00045037820254730627
2459047.3070277236	-0.00023021674214462233	0.00045006122432384663
2459047.3087986168	0.0002690278058645134	0.00044779547666877755
2459047.3105810815	0.0005330902790945801	0.00044703529114497535
2459047.3123519737	-0.0012007020767201165	0.0004425960463218539
